model,case_id,template,assertion_id,failure_category,coarse_signature,fine_signature,old_summary_signature
qwen0p5,gen_char_fine_compare_001,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_002,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_003,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_004,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_fine_compare_005,char_fine_compare,CH_COMPARE_WRONG_INDEX,character.fine_compare,ee11b0f88de499cb,011c5130783dc09c,011c5130783dc09c
qwen0p5,gen_char_format_extract_001,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_002,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_003,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_004,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_format_extract_005,char_format_extract,CH_FORMAT_WRONG_FIELD,character.format_extraction,27da525f0fce7241,ce46b94887b2d907,ce46b94887b2d907
qwen0p5,gen_char_letter_count_001,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_002,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_003,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_letter_count_004,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,71f3e815b5da74bb,71f3e815b5da74bb
qwen0p5,gen_char_letter_count_005,char_letter_count,CH_LETTER_WRONG_COUNT,character.letter_count,733510a6a268821b,5be9b8e91b6bd394,5be9b8e91b6bd394
qwen0p5,gen_char_substring_overlap_001,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_002,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,647d703f99b727ef,647d703f99b727ef
qwen0p5,gen_char_substring_overlap_003,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_004,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_char_substring_overlap_005,char_substring_overlap,CH_SUBSTR_WRONG_COUNT,character.substring,33f4e7579106710d,092e86251129cc3e,092e86251129cc3e
qwen0p5,gen_state_conditional_write_001,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_002,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_003,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_004,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_conditional_write_005,state_conditional_write,SD_COND_WRONG_VALUE,state.conditional_write,792ca577ae379fbd,c58e14a4f70a39d2,c58e14a4f70a39d2
qwen0p5,gen_state_overwrite_protection_002,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,624dfcdff2201b24,624dfcdff2201b24
qwen0p5,gen_state_overwrite_protection_003,state_overwrite_protection,SD_PROTECT_OVERWRITTEN,state.overwrite_protection,6d35b1dabb8c05ee,2fed6337768005d9,2fed6337768005d9
